,squish
banana_1,1.0506134969325154
banana_2,1.7758544163337773
banana_3,1.467215441385183
banana_4,1.0861618798955615
banana_5,1.5591593149974052
banana_6,1.025255824080122
banana_7,1.0629789272030652
banana_8,1.013557619884509
banana_9,1.7271137026239067
banana_10,1.0449511400651466
banana_11,1.460789766407119
banana_12,1.688689505165851
banana_13,1.3670850767085077
banana_14,1.0114916111238796
banana_15,1.1210995542347697
banana_16,1.0995069475571493
banana_17,1.758096875895672
banana_18,1.600051374261495
banana_19,1.3170426065162908
banana_20,1.3734136373413637
banana_21,1.839546191247974
banana_22,1.3467723141458867
banana_23,1.369848721961398
banana_24,1.6156756756756756
banana_25,1.2968416053194016
banana_26,1.3360044211108042
banana_27,1.0309405940594059
banana_28,1.9577301679212507
banana_29,1.448776758409786
banana_30,1.3180051813471503
banana_31,1.625659050966608
banana_32,1.307235142118863
banana_33,1.222249448664543
banana_34,1.4572405929304446
banana_35,1.6391954868776062
banana_36,1.2998312394524658
